12/29/97,Madison Square Garden
12/30/97,Madison Square Garden
12/31/97,Madison Square Garden
12/29/98,Madison Square Garden
12/30/98,Madison Square Garden
12/31/98,Madison Square Garden
10/8/99,Nassau Coliseum
8/14/04,Newport State Airport
8/15/04,Newport State Airport
7/31/09,Red Rocks Amphitheatre
8/1/09,Red Rocks Amphitheatre
8/14/09,Meadows Music Theatre
8/16/09,Saratoga Performing Arts Center
10/30/09,Empire Polo Club
10/31/09,Empire Polo Club
11/1/09,Empire Polo Club
11/28/09,Pepsi Arena
11/29/09,Cumberland County Civic Center
12/4/09,Madison Square Garden
12/5/09,John Paul Jones Arena
12/31/09,American Airlines Arena
6/17/10,Comcast Theatre
6/18/10,Comcast Theatre
6/19/10,Saratoga Performing Arts Center
6/20/10,Saratoga Performing Arts Center
6/22/10,Comcast Center
8/5/10,Greek Theatre
8/6/10,Greek Theatre
8/7/10,Greek Theatre
8/9/10,Town Park
8/10/10,Town Park
8/17/10,Nikon at Jones Beach Theatre
8/18/10,Nikon at Jones Beach Theatre
10/19/10,Augusta Civic Center
10/22/10,Dunkin Donuts Center
10/23/10,Mullins Center
10/24/10,Mullins Center
10/26/10,Verizon Wireless Arena
10/29/10,Boardwalk Hall
10/30/10,Boardwalk Hall
10/31/10,Boardwalk Hall
12/27/10,DCU Center
12/28/10,DCU Center
12/30/10,Madison Square Garden
12/31/10,Madison Square Garden
1/1/11,Madison Square Garden
5/27/11,Bethel Woods Center For The Arts
5/28/11,Bethel Woods Center For The Arts
5/29/11,Bethel Woods Center For The Arts
6/7/11,Comcast Center
7/1/11,Super Ball IX
7/2/11,Super Ball IX
7/3/11,Super Ball IX
8/5/11,Gorge Amphitheatre
8/6/11,Gorge Amphitheatre
9/2/11,Dick's Sporting Goods Park
9/3/11,Dick's Sporting Goods Park
9/4/11,Dick's Sporting Goods Park
12/28/11,Madison Square Garden
12/29/11,Madison Square Garden
12/30/11,Madison Square Garden
12/31/11,Madison Square Garden
6/7/12,DCU Center
6/8/12,DCU Center
6/16/12,Bader Field
6/17/12,Bader Field
7/6/12,Saratoga Performing Arts Center
7/7/12,Saratoga Performing Arts Center
7/8/12,Saratoga Performing Arts Center
12/28/12,Madison Square Garden
12/29/12,Madison Square Garden
12/30/12,Madison Square Garden
12/31/12,Madison Square Garden
7/3/13,Bangor Waterfront Pavilion
7/5/13,Saratoga Performing Arts Center
7/6/13,Saratoga Performing Arts Center
7/7/13,Saratoga Performing Arts Center
7/26/13,The Gorge Amphitheater
7/27/13,The Gorge Amphitheater
7/30/13,Lake Tahoe Outdoor Arena at Harveys
7/31/13,Lake Tahoe Outdoor Arena at Harveys
8/2/13,Bill Graham Civic Auditorium
8/3/13,Bill Graham Civic Auditorium
8/4/13,Bill Graham Civic Auditorium
8/5/13,Hollywood Bowl
8/30/13,Dick's Sporting Goods Park
8/31/13,Dick's Sporting Goods Park
9/1/13,Dick's Sporting Goods Park
10/25/13,DCU Center
10/26/13,DCU Center
10/27/13,XL Center
10/31/13,Boardwalk Hall
12/28/13,Madison Square Garden
12/29/13,Madison Square Garden
12/30/13,Madison Square Garden
12/31/13,Madison Square Garden
