2/26/03,Worcester Centrum Centre
8/2/03,Loring Air Force Base
8/3/03,Loring Air Force Base
12/2/03,The Fleet Center
8/10/04,Tweeter Center Boston
8/11/04,Tweeter Center Boston
8/14/04,Newport State Airport
8/15/04,Newport State Airport
3/6/09,Hampton Coliseum
3/7/09,Hampton Coliseum
3/8/09,Hampton Coliseum
5/31/09,Fenway Park
6/4/09,Jones Beach Amphitheatre
6/5/09,Jones Beach Amphitheatre
6/6/09,Comcast Center
6/18/09,Post Gazette Pavilion
6/19/09,Verizon Wireless Music Center
6/20/09,Alpine Valley Music Theatre
6/21/09,Alpine Valley Music Theatre
7/30/09,Red Rocks Amphitheatre
7/31/09,Red Rocks Amphitheatre
8/1/09,Red Rocks Amphitheatre
8/2/09,Red Rocks Amphitheatre
8/14/09,Meadows Music Theatre
8/16/09,Saratoga Performing Arts Center
10/30/09,Empire Polo Club
10/31/09,Empire Polo Club
11/1/09,Empire Polo Club
11/20/09,US Bank Arena
11/21/09,US Bank Arena
11/27/09,Pepsi Arena
11/28/09,Pepsi Arena
11/29/09,Cumberland County Civic Center
12/3/09,Madison Square Garden
12/4/09,Madison Square Garden
12/5/09,John Paul Jones Arena
12/28/09,American Airlines Arena
12/29/09,American Airlines Arena
12/30/09,American Airlines Arena
12/31/09,American Airlines Arena
6/11/10,Toyota Park
6/12/10,Blossom Music Center
6/13/10,Hersheypark Stadium
6/17/10,Comcast Theatre
6/18/10,Comcast Theatre
6/19/10,Saratoga Performing Arts Center
6/20/10,Saratoga Performing Arts Center
6/22/10,Comcast Center
6/29/10,CMAC Performing Arts Center
8/9/10,Town Park
8/10/10,Town Park
8/12/10,Verizon Wireless Music Center
8/13/10,Verizon Wireless Music Center
8/14/10,Alpine Valley Music Theatre
8/15/10,Alpine Valley Music Theatre
8/17/10,Nikon at Jones Beach Theatre
8/18/10,Nikon at Jones Beach Theatre
10/22/10,Dunkin Donuts Center
10/23/10,Mullins Center
10/30/10,Boardwalk Hall
10/31/10,Boardwalk Hall
12/27/10,DCU Center
12/28/10,DCU Center
12/30/10,Madison Square Garden
12/31/10,Madison Square Garden
1/1/11,Madison Square Garden
5/27/11,Bethel Woods Center For The Arts
5/28/11,Bethel Woods Center For The Arts
5/29/11,Bethel Woods Center For The Arts
5/31/11,PNC Bank Arts Center
6/1/11,PNC Bank Arts Center
6/7/11,Comcast Center
6/17/11,Verizon Wireless Amphitheater
6/18/11,Time Warner Cable Music Pavilion at Walnut Creek
7/1/11,Super Ball IX
7/2/11,Super Ball IX
7/3/11,Super Ball IX
9/2/11,Dick's Sporting Goods Park
9/3/11,Dick's Sporting Goods Park
9/4/11,Dick's Sporting Goods Park
9/14/11,Champlain Valley Exposition
12/28/11,Madison Square Garden
12/29/11,Madison Square Garden
12/30/11,Madison Square Garden
12/31/11,Madison Square Garden
6/7/12,DCU Center
6/8/12,DCU Center
6/15/12,Bader Field
6/16/12,Bader Field
6/17/12,Bader Field
6/23/12,First Niagara Pavilion
6/24/12,Blossom Music Center
7/3/12,Jones Beach Amphitheatre
7/4/12,Jones Beach Amphitheatre
7/6/12,Saratoga Performing Arts Center
7/7/12,Saratoga Performing Arts Center
7/8/12,Saratoga Performing Arts Center
8/17/12,Bill Graham Civic Auditorium
8/18/12,Bill Graham Civic Auditorium
8/19/12,Bill Graham Civic Auditorium
12/28/12,Madison Square Garden
12/29/12,Madison Square Garden
12/30/12,Madison Square Garden
12/31/12,Madison Square Garden
7/3/13,Bangor Waterfront Pavilion
7/5/13,Saratoga Performing Arts Center
7/6/13,Saratoga Performing Arts Center
7/7/13,Saratoga Performing Arts Center
7/26/13,The Gorge Amphitheater
7/27/13,The Gorge Amphitheater
